"TaxonID","SynName"
3612,"Linum appressum Caball."
3273,"Linum corymbulosum Reichenb."
2598,"Linum tenuifolium L. ssp. suffruticosum (L.) R. Lit."
6883,"Lithodora diffusa (Lag.) I.M. Johnston ssp. lusitanica (Samp.) P. Silva & Rozeira"
6882,"Lithodora diffusa (Lag.) I. M. Johnston"
6883,"Lithodora prostrata (Loisel.) Griseb. ssp. lusitanica (Samp.) Valdés"
6884,"Lithodora prostrata (Loisel.) Griseb."
3615,"Lithospermum fruticosum L."
6880,"Logfia gallica (L.) Cosson & Germ."
2327,"Lolium arundinaceum (Schreb.) Darbysh."
6890,"Lotus collinus (Boiss.) Heldr."
6050,"Lygos monosperma (L.) Heywood"
3849,"Lygos sphaerocarpa (L.) Heywood"
5668,"Maresia pulchella (DC.) O. E. Schulz"
2648,"Medicago littoralis Loisel."
2651,"Medicago monspeliaca (L.) Trautv."
2660,"Melandrium album (Mill.) Garcke"
3633,"Mercurialis ambigua L. fil."
6486,"Merendera pyrenaica (Pourret) P. Fourn."
5365,"Micromeria chionistrae Meikle"
3134,"Microthlaspi perfoliatum (L.) F.K.Mey."
6181,"Muscari comosum (L.) Miller"
2696,"Narcissus assoanus L. Duf."
6401,"Narcissus longispathus Degen & Hervier ex Pugsley"
6401,"Narcissus radinganorum Fern. Casas"
6897,"Odontites lutea (L.) Clairv."
6891,"Onobrychis argentea Boiss. ssp. hispanica (Sirj.) P.W. Ball"
5900,"Ophrys dyris Maire"
5900,"Ophrys fusca Link ssp. omegaifera (Fleischm.) E. Nelson"
2737,"Orchis pyramidalis L."
3324,"Oryzopsis miliacea (L.) Bentham & Hooker ex Ascherson & Graebner"
6905,"Osyris lanceolata Hochst. & Steud"
6905,"Osyris quadripartita Salzm. ex Decne"
2758,"Papaver rhaeticum Leresche"
2774,"Petrorhagia dubia (Raf.) G. Lopez & Romo"
2778,"Phagnalon rupestre (L.) DC. ssp. graecum Batt."
6316,"Phelipanche nana (Reut.) Sojak"
2785,"Phillyrea media L."
4711,"Phleum exaratum Hochst. Ex Griseb. ssp. exaratum"
2475,"Pilosella officinarum F.W. Schultz & Schultz Bip."
