litera,genus,specie,author,ref,syn,name_acc
"Q. pubescens, Brot.",Quercus,pubescens,"Brot.",@Webb1838,yes,"Quercus toza, Bosc."
"Q. humilis, D.C. non L.",Quercus,humilis,"D.C. non L.",@Amo1861,yes,"Quercus tozza, Bosc."
"Q. cerris, D.C.",Quercus,cerris,"D.C.",@Amo1861,yes,"Quercus tozza, Bosc."
"Q. pyrenaica, Willd.", Quercus,pyrenaica,"Willd.",@Amo1861,yes,"Quercus tozza, Bosc."
"Q. stolonifera, Lapeyr.",Quercus,stolonifera,"Lapeyr",@Amo1861,yes,"Quercus tozza, Bosc."
"Q. nigra, Thore.",Quercus,nigra,"Thore.",@Amo1861,yes,"Quercus tozza, Bosc."
"Q. tauzin, Pers.",Quercus,tauzin,"Pers.",@Amo1861,yes,"Quercus tozza, Bosc."
"Q. brossa, Bosc.",Quercus,brossa,"Bosc.",@Amo1861,yes,"Quercus tozza, Bosc."
"Q. aegilops, Asso.",Quercus,aegilops,"Asso.",@Amo1861,yes,"Quercus tozza, Bosc."
"Q. pubescens, Brot. non W.",Quercus,pubescens,"Brot. non. W.",@Amo1861,yes,"Quercus tozza, Bosc."
"Q. humilis, DC. non L. nec Lamk.",Quercus,humilis,"DC. non L. nec Lamk.",@Willkomm1861,yes,"Quercus tozza, Bosc."
"Q. pyrenaica, W.", Quercus,pyrenaica,"W.",@Willkomm1861,yes,"Quercus tozza, Bosc."
"Q. stolonifera, Lap.",Quercus,stolonifera,"Lap.",@Willkomm1861,yes,"Quercus tozza, Bosc."
"Q. tauzin, P.",Quercus,tauzin,"P.",@Willkomm1861,yes,"Quercus tozza, Bosc."
"Q. pubescens, Brot.",Quercus,pubescens,"Brot.",@Willkomm1861,yes,"Quercus tozza, Bosc."
"Q. robur, Ass.",Quercus,robur,"Ass.",@Willkomm1861,yes,"Quercus tozza, Bosc."
"Robur III, Clus.",Quercus,,"Clus.",@Willkomm1861,yes,"Quercus tozza, Bosc."
