year,litera,genus,specie,author,ref
1838,"Quercus toza, Bosc.",Quercus,toza,"Bosc.",@Webb1838
1854,"Quercus tozza, Bosc.",Quercus,tozza,"Bosc.",@Colmeiro1854
1861,"Quercus tozza, Bosc.",Quercus,tozza,"Bosc.",@Amo1861
1861,"Quercus tozza, Bosc.",Quercus,tozza,"Bosc.",@Willkomm1861
1870,"Quercus toza, Bosc.",Quercus,toza,"Bosc.",@Laguna1870

